timestamp,anomaly_score
2680,0.0009071012
2681,0.00090997224
2682,0.0009120301
2683,0.0009134807
2684,0.000914534
2685,0.00091529964
2686,0.000915888
2687,0.0009163496
2688,0.00091679406
2689,0.00091713294
2690,0.00091763976
2691,0.0009180184
2692,0.0009186498
2693,0.00091909827
2694,0.0009198133
2695,0.0009203383
2696,0.0009209999
2697,0.0009214829
2698,0.0009220048
2699,0.00092236476
2700,0.000922794
2701,0.0009230865
2702,0.0009233953
2703,0.0009235835
2704,0.0009237896
2705,0.00092386216
2706,0.00092397124
2707,0.00092391577
2708,0.0009239272
2709,0.0009237513
2710,0.00092371687
2711,0.0009233748
2712,0.0009232868
2713,0.0009227519
2714,0.0009226502
2715,0.00092170585
2716,0.0009214402
2717,0.0009195069
2718,0.0009186507
2719,0.0009156894
2720,0.00091421715
2721,0.0009106907
2722,0.0009092055
2780,0.000911842
2781,0.0009918308
2782,0.0010482626
2783,0.001088109
2784,0.0011173384
2785,0.0011381963
2786,0.0011563214
2787,0.0011770346
2788,0.001191585
2789,0.00120412
2790,0.0012133464
2791,0.0012201483
2792,0.0012250777
2793,0.0012287722
2794,0.0012316913
2795,0.0012337805
2796,0.0012356875
2797,0.0012370702
2798,0.0012384903
2799,0.0012397346
2800,0.001241046
2801,0.001242138
2802,0.0012433685
2803,0.0012442896
2804,0.0012452373
2805,0.0012459211
2806,0.0012465584
2807,0.00124703
2808,0.0012474142
2809,0.0012477029
2810,0.0012480029
2811,0.0012482128
2812,0.0012484209
2813,0.0013150824
2814,0.0013617643
2815,0.0013944537
2816,0.0014173391
2817,0.0014333633
2818,0.0014445856
2819,0.001452446
2820,0.0014579544
2821,0.0014618118
2822,0.0014645252
2823,0.0014664542
2824,0.0014678385
2825,0.0014688096
2826,0.0014695076
2827,0.0014700874
2828,0.0014705019
2829,0.0014708407
2830,0.0014712337
2831,0.0014714316
2832,0.0014716515
2833,0.0014717623
2834,0.0014718273
2835,0.0014720035
2836,0.0014720086
2837,0.0014721063
2838,0.0014723458
2839,0.0014723599
2840,0.001472435
2841,0.0014847037
2842,0.001493993
2843,0.0015014065
2844,0.0015064882
2845,0.0015103316
2846,0.0015121064
2847,0.0015139685
2848,0.0015151383
2849,0.00151489
2850,0.0015167923
2851,0.0015156362
2852,0.0015147862
2853,0.001513352
2854,0.0015118984
2855,0.00150996
2856,0.0015088292
2857,0.0015070416
2858,0.0015076457
2859,0.0015057253
2860,0.0015049423
2861,0.0015038918
2862,0.0015042436
2863,0.0015013887
2864,0.0014996413
2865,0.0014939847
2866,0.0014959361
2867,0.0014914195
2868,0.0014853594
2869,0.001467208
2870,0.0014601516
2871,0.0014445373
2872,0.0014262595
2873,0.0014126224
2874,0.0013336025
2875,0.0010593815
3977,0.00090979366
3978,0.0009205224
3979,0.0009282867
3980,0.0009332346
3981,0.00093661755
3982,0.00093879877
3983,0.0009403393
3984,0.0009411848
3985,0.0009417315
3986,0.0009419346
3987,0.00094207446
3988,0.0009418072
3989,0.00094172475
3990,0.00094171613
3991,0.0009422053
3992,0.00094145886
3993,0.00094010774
3994,0.00093901216
3995,0.0009384716
3996,0.0009380155
3997,0.00093814154
3998,0.0009382413
3999,0.0009388161
4000,0.0009377361
4001,0.00093695545
4002,0.00093645556
4003,0.00093550823
4004,0.00093334645
4005,0.0009297483
