timestamp,raw_error,smoothed_error
0,2.7147751e-05,2.7147751e-05
1,2.7176391e-05,2.7156344e-05
2,2.8373095e-05,2.7521368e-05
3,2.7358075e-05,2.7472379e-05
4,2.7467588e-05,2.7470942e-05
5,2.608614e-05,2.7055503e-05
6,2.606385e-05,2.6758007e-05
7,2.6147229e-05,2.6574773e-05
8,2.5668745e-05,2.6302965e-05
9,2.5633513e-05,2.6102129e-05
10,2.5807803e-05,2.6013831e-05
11,2.5657271e-05,2.5906862e-05
12,2.598482e-05,2.5930249e-05
13,2.588963e-05,2.5918063e-05
14,2.6508795e-05,2.6095284e-05
15,2.6096159e-05,2.6095546e-05
16,0.00018207011,7.288792e-05
17,0.00018214317,0.00010566449
18,0.0001839794,0.00012915896
19,0.00018505513,0.00014592781
20,0.00016363004,0.00015123849
21,0.000163758,0.00015499434
22,0.00016369885,0.0001576057
23,0.00016234495,0.00015902748
24,0.00016218881,0.00015997588
25,0.00016282246,0.00016082985
26,0.00016303959,0.00016149278
27,0.00016232602,0.00016174275
28,0.00016343959,0.0001622518
29,0.00016073363,0.00016179634
30,0.00016641767,0.00016318275
31,0.00017067163,0.00016542942
32,0.00017051301,0.0001669545
33,0.00017035421,0.00016797442
34,0.00017101465,0.00016888649
35,0.00017125181,0.00016959608
36,0.00017138288,0.00017013212
37,0.00017147482,0.00017053493
38,0.00017173101,0.00017089375
39,0.00017190253,0.00017119639
40,0.00017241192,0.00017156104
41,0.00017295482,0.00017197918
42,0.00017390265,0.00017255622
43,0.00017449386,0.00017313751
44,0.00017540732,0.00017381845
45,0.00017557226,0.00017434459
46,0.00017635473,0.00017494764
47,0.00017643998,0.00017539534
48,0.0001768316,0.00017582622
49,0.00017688984,0.0001761453
50,0.00017723143,0.00017647113
51,0.00017729508,0.00017671833
52,0.00017748149,0.00017694729
53,0.00017748389,0.00017710826
54,0.00017762382,0.00017726293
55,0.00017764463,0.00017737744
56,0.00017772277,0.00017748104
57,0.00017772529,0.00017755432
58,0.00017774112,0.00017761036
59,0.00017774125,0.00017764964
60,0.0001777666,0.00017768473
61,0.00017777027,0.00017771039
62,0.00017779016,0.00017773431
63,0.00017779719,0.00017775317
64,0.00017781877,0.00017777285
65,0.00017783357,0.00017779107
66,0.00017789229,0.00017782144
67,0.00017791073,0.00017784823
68,0.00017829161,0.00017798124
69,0.00017830283,0.00017807771
70,0.0001789675,0.00017834465
71,0.00017911724,0.00017857643
72,0.00017942142,0.00017882993
73,0.00017948747,0.00017902719
74,0.00017971455,0.0001792334
75,0.00017977312,0.00017939531
76,0.00017990542,0.00017954834
77,0.00017997791,0.00017967721
78,0.00018014568,0.00017981775
79,0.00018040666,0.00017999441
80,0.0001805701,0.00018016712
81,0.00018122632,0.00018048487
82,0.00021192081,0.00018991565
83,0.00021285364,0.00019679705
84,0.0002138328,0.00020190777
85,0.00021409408,0.00020556366
86,0.00021455697,0.00020826166
87,0.00021536676,0.00021039319
88,0.0002148439,0.0002117284
89,0.00021592576,0.0002129876
90,0.00021599155,0.00021388878
91,0.00021847278,0.00021526398
92,0.00021433772,0.0002149861
93,0.00021583303,0.00021524017
94,0.00021656827,0.0002156386
95,0.00021893004,0.00021662604
96,0.00021730734,0.00021683043
97,0.00021829284,0.00021726916
98,0.00021670456,0.00021709979
99,0.00021754841,0.00021723438
100,0.00021896104,0.00021775239
101,0.00021999553,0.00021842532
102,0.00022004668,0.00021891174
103,0.00022142495,0.0002196657
104,0.00021726888,0.00021894666
105,0.00021584916,0.0002180174
106,0.00021219399,0.00021627037
107,0.00021154691,0.00021485334
108,0.00020928496,0.00021318282
109,0.0002109823,0.00021252266
110,0.00021215419,0.00021241212
111,0.00021466565,0.00021308818
112,0.00021307361,0.00021308381
113,0.00020484957,0.00021061354
114,0.00019586322,0.00020618844
115,0.00019562597,0.00020301969
116,7.4480886e-05,0.00016445805
117,7.5228534e-05,0.00013768919
118,7.451186e-05,0.00011873599
119,7.1630995e-05,0.00010460449
120,7.074213e-05,9.444578e-05
121,6.926715e-05,8.689219e-05
122,6.984277e-05,8.177737e-05
123,6.9921465e-05,7.82206e-05
124,7.065121e-05,7.594978e-05
125,7.169195e-05,7.467243e-05
126,7.571223e-05,7.4984375e-05
127,7.0073576e-05,7.351113e-05
128,7.356179e-05,7.352633e-05
129,7.080838e-05,7.2710944e-05
130,8.8661596e-05,7.749614e-05
131,6.386955e-05,7.340816e-05
132,6.3988395e-05,7.058223e-05
133,6.413843e-05,6.864909e-05
134,6.4230735e-05,6.732358e-05
135,6.45467e-05,6.649052e-05
136,6.465773e-05,6.594068e-05
137,6.5361695e-05,6.576699e-05
138,6.555396e-05,6.5703076e-05
139,6.6798915e-05,6.603183e-05
140,6.700327e-05,6.6323264e-05
141,6.821976e-05,6.6892215e-05
142,6.838023e-05,6.733862e-05
143,6.9298374e-05,6.792654e-05
144,6.9341026e-05,6.8350884e-05
145,6.99512e-05,6.883098e-05
146,6.992865e-05,6.9160276e-05
147,7.033012e-05,6.9511225e-05
148,7.0449256e-05,6.979264e-05
149,7.069622e-05,7.006371e-05
150,7.058469e-05,7.0220005e-05
151,7.072277e-05,7.0370836e-05
152,7.093535e-05,7.054019e-05
153,7.0696755e-05,7.0587164e-05
154,7.072945e-05,7.062985e-05
155,7.033573e-05,7.054162e-05
156,7.0526534e-05,7.053709e-05
157,7.03443e-05,7.0479255e-05
158,6.906274e-05,7.00543e-05
159,6.8665635e-05,6.96377e-05
160,6.904592e-05,6.946017e-05
161,6.8534646e-05,6.918251e-05
162,6.829998e-05,6.8917754e-05
163,6.767232e-05,6.854412e-05
164,6.822355e-05,6.8447946e-05
165,6.933299e-05,6.871346e-05
166,7.009831e-05,6.912892e-05
167,6.934177e-05,6.919277e-05
168,6.851001e-05,6.8987945e-05
169,6.773645e-05,6.86125e-05
170,6.6332155e-05,6.79284e-05
171,6.174121e-05,6.607224e-05
172,6.11027e-05,6.4581385e-05
173,6.020975e-05,6.3269894e-05
174,6.0949562e-05,6.2573796e-05
175,6.0166774e-05,6.185169e-05
176,5.9617007e-05,6.118129e-05
177,5.879789e-05,6.046627e-05
178,6.0649847e-05,6.0521343e-05
179,6.0584585e-05,6.054032e-05
180,5.710045e-05,5.950836e-05
181,6.0762344e-05,5.9884555e-05
182,3.1975014e-05,5.151169e-05
183,3.2064472e-05,4.5677523e-05
184,3.2410222e-05,4.169733e-05
185,3.250708e-05,3.8940256e-05
186,3.287646e-05,3.7121117e-05
187,3.2925214e-05,3.5862347e-05
188,3.344999e-05,3.513864e-05
189,3.359609e-05,3.4675875e-05
190,3.3857636e-05,3.4430406e-05
191,3.3840013e-05,3.4253288e-05
192,3.4927278e-05,3.4455486e-05
193,3.497569e-05,3.461155e-05
194,3.555817e-05,3.4895536e-05
195,3.552616e-05,3.5084726e-05
196,3.612637e-05,3.539722e-05
197,3.6051348e-05,3.5593457e-05
198,3.643288e-05,3.5845285e-05
199,3.6220878e-05,3.5957964e-05
200,3.6624853e-05,3.615803e-05
201,3.6440528e-05,3.624278e-05
202,3.6450445e-05,3.6305082e-05
203,3.6048037e-05,3.6227968e-05
204,3.668663e-05,3.6365567e-05
205,3.625429e-05,3.633218e-05
206,3.6431342e-05,3.636193e-05
207,3.6035737e-05,3.626407e-05
208,3.6697777e-05,3.6394184e-05
209,3.6020232e-05,3.6282e-05
210,3.5305726e-05,3.5989116e-05
211,3.5001427e-05,3.569281e-05
212,3.6644145e-05,3.5978213e-05
213,3.74349e-05,3.641522e-05
214,1.5655403e-05,3.0187273e-05
215,1.5487265e-05,2.577727e-05
216,1.381587e-05,2.2188851e-05
217,1.1808623e-05,1.9074783e-05
218,1.1265605e-05,1.673203e-05
219,1.05468025e-05,1.4876462e-05
220,1.0305914e-05,1.3505298e-05
221,9.556454e-06,1.2320645e-05
222,9.663002e-06,1.15233515e-05
223,9.891129e-06,1.1033684e-05
224,9.726421e-06,1.06415055e-05
225,9.133334e-06,1.0189054e-05
226,9.178823e-06,9.885985e-06
227,8.862048e-06,9.578804e-06
228,8.639347e-06,9.296967e-06
229,8.684238e-06,9.113148e-06
230,8.721682e-06,8.995708e-06
231,8.83297e-06,8.946887e-06
232,8.874537e-06,8.925182e-06
233,8.916622e-06,8.922614e-06
234,9.0973035e-06,8.975021e-06
235,9.303159e-06,9.073463e-06
